date,origin,destination,via,drug_type,volume_kg
2025-05-01,Punjab,Rajasthan,Inland trafficking network,Heroin,24.98
2025-06-01,Punjab,Rajasthan,Inland trafficking network,Heroin,26.1
2025-07-01,Punjab,Rajasthan,Inland trafficking network,Heroin,23.98
2025-08-01,Punjab,Rajasthan,Inland trafficking network,Heroin,24.41
2025-09-01,Punjab,Rajasthan,Inland trafficking network,Heroin,24.55
2025-10-01,Punjab,Rajasthan,Inland trafficking network,Heroin,23.88
2025-11-01,Punjab,Rajasthan,Inland trafficking network,Heroin,22.81
2025-12-01,Punjab,Rajasthan,Inland trafficking network,Heroin,26.06
2024-01-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,5.87
2024-02-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,5.24
2024-03-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.24
2024-04-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.68
2024-05-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.9
2024-06-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,8.06
2024-07-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,8.9
2024-08-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,9.6
2024-09-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,10.96
2024-10-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,11.57
2024-11-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,11.19
2024-12-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,11.09
2025-01-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,10.82
2025-02-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,11.35
2025-03-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,10.46
2025-04-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,8.75
2025-05-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,9.15
2025-06-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,7.97
2025-07-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.13
2025-08-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.84
2025-09-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.36
2025-10-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,7.2
2025-11-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,6.92
2025-12-01,Gujarat Coast,Mumbai,Maritime shipping route,Cocaine,5.98
2024-01-01,Mumbai,Delhi,Courier/air network,Cocaine,2.33
2024-02-01,Mumbai,Delhi,Courier/air network,Cocaine,2.17
2024-03-01,Mumbai,Delhi,Courier/air network,Cocaine,2.18
2024-04-01,Mumbai,Delhi,Courier/air network,Cocaine,1.8
2024-05-01,Mumbai,Delhi,Courier/air network,Cocaine,1.8
2024-06-01,Mumbai,Delhi,Courier/air network,Cocaine,0.93
2024-07-01,Mumbai,Delhi,Courier/air network,Cocaine,1.14
2024-08-01,Mumbai,Delhi,Courier/air network,Cocaine,0.3
2024-09-01,Mumbai,Delhi,Courier/air network,Cocaine,0.36
2024-10-01,Mumbai,Delhi,Courier/air network,Cocaine,1.05
2024-11-01,Mumbai,Delhi,Courier/air network,Cocaine,2.02
2024-12-01,Mumbai,Delhi,Courier/air network,Cocaine,3.42
2025-01-01,Mumbai,Delhi,Courier/air network,Cocaine,2.53
2025-02-01,Mumbai,Delhi,Courier/air network,Cocaine,3.26
2025-03-01,Mumbai,Delhi,Courier/air network,Cocaine,4.3
2025-04-01,Mumbai,Delhi,Courier/air network,Cocaine,5.19
2025-05-01,Mumbai,Delhi,Courier/air network,Cocaine,4.74
2025-06-01,Mumbai,Delhi,Courier/air network,Cocaine,5.23
2025-07-01,Mumbai,Delhi,Courier/air network,Cocaine,6.73
2025-08-01,Mumbai,Delhi,Courier/air network,Cocaine,5.88
2025-09-01,Mumbai,Delhi,Courier/air network,Cocaine,6.41
2025-10-01,Mumbai,Delhi,Courier/air network,Cocaine,7.39
2025-11-01,Mumbai,Delhi,Courier/air network,Cocaine,7.11
2025-12-01,Mumbai,Delhi,Courier/air network,Cocaine,7.71
2024-01-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,22.24
2024-02-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,20.25
2024-03-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,18.25
2024-04-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,19.28
2024-05-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,19.45
2024-06-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,22.77
2024-07-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,20.39
2024-08-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,20.45
2024-09-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,23.78
2024-10-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,25.92
2024-11-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,22.39
2024-12-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,24.84
2025-01-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,23.85
2025-02-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,25.46
2025-03-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,26.81
2025-04-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,30.92
2025-05-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,31.72
2025-06-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,26.61
2025-07-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,22.95
2025-08-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,25.59
2025-09-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,25.27
2025-10-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,29.13
2025-11-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,30.4
2025-12-01,Odisha,Andhra Pradesh,Ganja belt overland route,Cannabis,28.6
2024-01-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,20.68
2024-02-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,19.21
2024-03-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,14.99
2024-04-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,19.83
2024-05-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,15.93
2024-06-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,17.63
2024-07-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,19.99
2024-08-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,20.62
2024-09-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,17.21
2024-10-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,19.74
2024-11-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,16.87
2024-12-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,14.22
2025-01-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,13.72
2025-02-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,15.76
2025-03-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,16.72
2025-04-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,18.8
2025-05-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,18.12
2025-06-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,18.05
2025-07-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,15.84
2025-08-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,15.45
2025-09-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,17.05
2025-10-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,16.69
2025-11-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,18.04
2025-12-01,Andhra Pradesh,Telangana,Inland distribution,Cannabis,17.08
2024-01-01,Myanmar Border,Manipur,Moreh crossing,Heroin,6.64
2024-02-01,Myanmar Border,Manipur,Moreh crossing,Heroin,7.04
2024-03-01,Myanmar Border,Manipur,Moreh crossing,Heroin,7.15
2024-04-01,Myanmar Border,Manipur,Moreh crossing,Heroin,8.21
2024-05-01,Myanmar Border,Manipur,Moreh crossing,Heroin,8.78
2024-06-01,Myanmar Border,Manipur,Moreh crossing,Heroin,11.22
2024-07-01,Myanmar Border,Manipur,Moreh crossing,Heroin,11.3
2024-08-01,Myanmar Border,Manipur,Moreh crossing,Heroin,11.38
2024-09-01,Myanmar Border,Manipur,Moreh crossing,Heroin,10.48
2024-10-01,Myanmar Border,Manipur,Moreh crossing,Heroin,10.86
2024-11-01,Myanmar Border,Manipur,Moreh crossing,Heroin,12.03
2024-12-01,Myanmar Border,Manipur,Moreh crossing,Heroin,11.49
2025-01-01,Myanmar Border,Manipur,Moreh crossing,Heroin,11.78
2025-02-01,Myanmar Border,Manipur,Moreh crossing,Heroin,12.99
2025-03-01,Myanmar Border,Manipur,Moreh crossing,Heroin,13.19
2025-04-01,Myanmar Border,Manipur,Moreh crossing,Heroin,12.92
2025-05-01,Myanmar Border,Manipur,Moreh crossing,Heroin,14.43
2025-06-01,Myanmar Border,Manipur,Moreh crossing,Heroin,14.9
2025-07-01,Myanmar Border,Manipur,Moreh crossing,Heroin,15.73
2025-08-01,Myanmar Border,Manipur,Moreh crossing,Heroin,17.48
2025-09-01,Myanmar Border,Manipur,Moreh crossing,Heroin,19.21
2025-10-01,Myanmar Border,Manipur,Moreh crossing,Heroin,19.14
2025-11-01,Myanmar Border,Manipur,Moreh crossing,Heroin,18.86
2025-12-01,Myanmar Border,Manipur,Moreh crossing,Heroin,19.55
2024-01-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,5.17
2024-02-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,3.57
2024-03-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,5.14
2024-04-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,5.46
2024-05-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.5
2024-06-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,5.63
2024-07-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,7.21
2024-08-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.93
2024-09-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,7.12
2024-10-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.02
2024-11-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.15
2024-12-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.22
2025-01-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,6.33
2025-02-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,7.07
2025-03-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,7.43
2025-04-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,8.71
2025-05-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,8.54
2025-06-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,7.84
2025-07-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,8.13
2025-08-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,9.05
2025-09-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,10.6
2025-10-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,11.71
2025-11-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,10.25
2025-12-01,Manipur,West Bengal,NE-Kolkata corridor,Heroin,10.92
2024-01-01,West Bengal,Kolkata Port,Port export route,Heroin,5.56
2024-02-01,West Bengal,Kolkata Port,Port export route,Heroin,5.87
2024-03-01,West Bengal,Kolkata Port,Port export route,Heroin,5.66
2024-04-01,West Bengal,Kolkata Port,Port export route,Heroin,6.18
2024-05-01,West Bengal,Kolkata Port,Port export route,Heroin,5.98
2024-06-01,West Bengal,Kolkata Port,Port export route,Heroin,6.81
2024-07-01,West Bengal,Kolkata Port,Port export route,Heroin,7.05
2024-08-01,West Bengal,Kolkata Port,Port export route,Heroin,8.55
2024-09-01,West Bengal,Kolkata Port,Port export route,Heroin,9.25
2024-10-01,West Bengal,Kolkata Port,Port export route,Heroin,8.85
2024-11-01,West Bengal,Kolkata Port,Port export route,Heroin,9.64
2024-12-01,West Bengal,Kolkata Port,Port export route,Heroin,10.73
2025-01-01,West Bengal,Kolkata Port,Port export route,Heroin,10.47
2025-02-01,West Bengal,Kolkata Port,Port export route,Heroin,10.34
2025-03-01,West Bengal,Kolkata Port,Port export route,Heroin,8.51
2025-04-01,West Bengal,Kolkata Port,Port export route,Heroin,9.58
2025-05-01,West Bengal,Kolkata Port,Port export route,Heroin,9.3
2025-06-01,West Bengal,Kolkata Port,Port export route,Heroin,7.64
2025-07-01,West Bengal,Kolkata Port,Port export route,Heroin,6.3
2025-08-01,West Bengal,Kolkata Port,Port export route,Heroin,6.35
2025-09-01,West Bengal,Kolkata Port,Port export route,Heroin,7.28
2025-10-01,West Bengal,Kolkata Port,Port export route,Heroin,7.45
2025-11-01,West Bengal,Kolkata Port,Port export route,Heroin,8.12
2025-12-01,West Bengal,Kolkata Port,Port export route,Heroin,7.38
